"","Year","fuel_type","emissions"
"173",1997,"motor_gasoline",1073.605
"174",1997,"petroleum",2326.434
"175",1997,"other",135.998
"176",1998,"coal",2063.432
"177",1998,"natural_gas",1191.44
"178",1998,"aviation",2.455
"179",1998,"kerosene",11.822
"180",1998,"motor_gasoline",1104.858
"181",1998,"petroleum",2371.598
"182",1998,"other",120.88
"183",1999,"coal",2061.388
"184",1999,"natural_gas",1196.782
"185",1999,"aviation",2.709
"186",1999,"kerosene",11.047
"187",1999,"motor_gasoline",1125.321
"188",1999,"petroleum",2431.127
"189",1999,"other",123.252
"190",2000,"coal",2154.575
"191",2000,"natural_gas",1246.173
"192",2000,"aviation",2.509
"193",2000,"kerosene",10.236
"194",2000,"motor_gasoline",1141.299
"195",2000,"petroleum",2477.472
"196",2000,"other",110.919
"197",2001,"coal",2087.517
"198",2001,"natural_gas",1191.883
"199",2001,"aviation",2.416
"200",2001,"kerosene",10.957
"201",2001,"motor_gasoline",1148.602
"202",2001,"petroleum",2487.697
"203",2001,"other",129.346
"204",2002,"coal",2092.834
"205",2002,"natural_gas",1231.363
"206",2002,"aviation",2.333
"207",2002,"kerosene",6.564
"208",2002,"motor_gasoline",1179.376
"209",2002,"petroleum",2482.688
"210",2002,"other",125.538
"211",2003,"coal",2134.157
"212",2003,"natural_gas",1195.504
"213",2003,"aviation",2.09
"214",2003,"kerosene",8.274
"215",2003,"motor_gasoline",1201.421
"216",2003,"petroleum",2545.489
"217",2003,"other",138.257
"218",2004,"coal",2158.049
"219",2004,"natural_gas",1201.329
"220",2004,"aviation",2.16
"221",2004,"kerosene",9.768
"222",2004,"motor_gasoline",1212.18
"223",2004,"petroleum",2623.077
"224",2004,"other",140.193
"225",2005,"coal",2180.383
"226",2005,"natural_gas",1182.588
"227",2005,"aviation",2.446
"228",2005,"kerosene",10.573
"229",2005,"motor_gasoline",1205.21
"230",2005,"petroleum",2632.951
"231",2005,"other",139.661
"232",2006,"coal",2146.258
"233",2006,"natural_gas",1169.817
"234",2006,"aviation",2.313
"235",2006,"kerosene",8.131
"236",2006,"motor_gasoline",1216.88
"237",2006,"petroleum",2601.926
"238",2006,"other",150.881
"239",2007,"coal",2170.982
"240",2007,"natural_gas",1244.998
"241",2007,"aviation",2.185
"242",2007,"kerosene",4.868
"243",2007,"motor_gasoline",1208.621
"244",2007,"petroleum",2587.614
"245",2007,"other",147.23
"246",2008,"coal",2138.882
"247",2008,"natural_gas",1254.361
